,Year,COVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,41.65,28.68,42.38,12.97,-0.73,1.55,1.55,46.0
1,2004,23.86,10.88,21.14,12.98,2.72,1.55,1.55,22.0
2,2005,8.63,4.91,6.4,3.72,2.23,1.47,61.0,25.0
3,2006,16.76,15.79,16.27,0.96,0.49,1.23,80.0,49.0
4,2007,2.68,5.49,-6.08,-2.81,8.76,1.27,61.0,10.0
5,2008,-33.78,-37.0,-32.24,3.21,-1.55,1.26,41.0,68.0
6,2009,24.94,26.46,31.32,-1.53,-6.38,1.28,56.0,65.0
7,2010,25.37,15.06,26.17,10.3,-0.8,1.32,70.0,57.0
8,2011,-2.7,2.11,-4.45,-4.81,1.76,1.35,60.0,32.0
9,2012,14.23,16.0,16.0,-1.77,-1.77,1.31,41.0,63.0
10,2013,39.85,32.39,36.22,7.46,3.63,1.31,42.0,22.0
11,YTD,2.24,13.98,1.3,-11.73,0.94,1.29,36.0,43.0
