,Year,CREEX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.45,24.93,-2.76,-27.39,0.31,0.31,29.0,37.0
1,2000,28.84,-13.18,27.02,42.02,1.82,0.96,25.0,43.0
2,2001,5.41,-16.82,10.0,22.23,-4.59,0.95,41.0,92.0
3,2002,3.12,-19.89,4.54,23.0,-1.42,0.94,53.0,66.0
4,2003,35.47,33.11,36.8,2.37,-1.33,1.08,1.08,61.0
5,2004,31.08,14.72,32.02,16.36,-0.94,0.97,0.97,63.0
6,2005,7.25,9.49,11.51,-2.24,-4.26,0.93,10.0,79.0
7,2006,33.81,20.07,33.58,13.74,0.23,0.94,10.0,61.0
8,2007,-17.38,9.04,-14.66,-26.41,-2.71,0.96,67.0,66.0
9,2008,-34.66,-40.71,-39.55,6.06,4.9,1.03,78.0,10.0
10,2009,27.27,29.99,31.26,-2.72,-4.0,1.14,110.0,67.0
11,2010,26.29,11.76,27.08,14.53,-0.79,1.02,108.0,64.0
12,2011,6.73,-5.54,7.51,12.27,-0.78,1.01,72.0,64.0
13,2012,17.28,15.83,17.6,1.45,-0.32,1.05,65.0,34.0
14,2013,-0.1,26.68,1.55,-26.78,-1.65,1.03,80.0,86.0
15,YTD,26.75,6.66,25.93,20.09,0.82,0.82,0.82,56.0
