,Year,EQPGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.97,21.04,38.87,15.93,-1.9,-1.9,82.0,42.0
1,2000,-11.02,-9.1,-13.05,-1.92,2.02,0.75,99.0,39.0
2,2001,-17.72,-11.89,-22.3,-5.84,4.58,0.72,106.0,32.0
3,2002,-30.2,-22.1,-27.64,-8.1,-2.55,0.68,93.0,70.0
4,2003,32.6,28.68,28.66,3.92,3.94,0.72,0.72,20.0
5,2004,3.25,10.88,7.81,-7.64,-4.56,0.73,0.73,88.0
6,2005,5.77,4.91,6.71,0.85,-0.95,0.75,80.0,54.0
7,2006,6.9,15.79,7.05,-8.89,-0.15,0.76,103.0,53.0
8,2007,26.76,5.49,13.35,21.27,13.41,0.78,112.0,6.0
9,2008,-46.77,-37.0,-40.67,-9.78,-6.11,0.79,164.0,90.0
10,2009,28.39,26.46,35.68,1.93,-7.29,0.84,135.0,79.0
11,2010,24.01,15.06,15.53,8.94,8.48,0.8,71.0,4.0
12,2011,0.29,2.11,-2.46,-1.82,2.75,0.79,70.0,27.0
13,2012,14.61,16.0,15.34,-1.4,-0.73,0.79,73.0,55.0
14,2013,36.08,32.39,33.92,3.7,2.16,0.77,81.0,27.0
15,YTD,12.42,13.98,10.79,-1.55,1.63,1.63,1.63,32.0
