,Year,FACFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,6.3,11.48,6.82,-5.17,-0.51,0.33,0.33,59.0
1,2005,4.97,7.04,3.68,-2.08,1.29,0.33,5.0,15.0
2,2006,9.35,12.95,8.58,-3.61,0.77,0.26,7.0,34.0
3,2007,7.33,8.63,5.22,-1.3,2.11,0.25,22.0,10.0
4,2008,-26.61,-22.19,-22.46,-4.41,-4.14,0.25,15.0,68.0
5,2009,25.64,21.77,22.42,3.87,3.22,0.25,44.0,18.0
6,2010,12.2,12.33,10.68,-0.13,1.52,0.25,42.0,13.0
7,2011,-0.41,0.59,0.91,-1.0,-1.32,0.25,41.0,76.0
8,2012,10.04,12.04,9.61,-2.0,0.43,0.25,25.0,46.0
9,2013,10.5,14.31,8.3,-3.8,2.21,0.25,26.0,30.0
10,YTD,5.26,5.81,4.98,-0.55,0.28,0.25,39.0,37.0
