,Year,FADAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.31,21.04,20.16,-13.73,-12.85,1.23,62.0,46.0
1,2000,11.6,-9.1,-6.31,20.71,17.91,1.13,107.0,31.0
2,2001,-2.89,-11.89,-13.5,9.0,10.62,1.1,100.0,4.0
3,2002,-20.71,-22.1,-22.25,1.39,1.54,1.11,66.0,28.0
4,2003,22.61,28.68,27.05,-6.08,-4.44,1.11,1.11,86.0
5,2004,5.33,10.88,10.02,-5.55,-4.69,1.14,1.14,92.0
6,2005,3.32,4.91,5.88,-1.59,-2.55,1.13,32.0,82.0
7,2006,14.19,15.79,14.17,-1.61,0.02,1.12,29.0,54.0
8,2007,0.48,5.49,6.16,-5.01,-5.68,1.11,36.0,90.0
9,2008,-43.97,-37.0,-37.79,-6.97,-6.18,1.08,122.0,92.0
10,2009,53.19,26.46,28.17,26.73,25.02,1.08,88.0,2.0
11,2010,21.27,15.06,14.01,6.2,7.26,1.24,80.0,5.0
12,2011,-8.78,2.11,-1.27,-10.89,-7.51,1.33,68.0,94.0
13,2012,18.32,16.0,14.96,2.31,3.36,1.2,64.0,11.0
14,2013,31.17,32.39,31.5,-1.22,-0.33,0.97,70.0,60.0
15,YTD,12.27,13.98,11.28,-1.71,0.99,0.99,0.99,45.0
