,Year,FAERX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,41.96,30.63,40.28,11.33,1.68,1.69,85.0,35.0
1,2000,-18.52,-15.31,-16.34,-3.21,-2.18,1.65,132.0,67.0
2,2001,-20.29,-19.73,-21.67,-0.55,1.39,1.57,99.0,39.0
3,2002,-20.25,-14.95,-16.69,-5.3,-3.56,1.68,85.0,86.0
4,2003,44.11,40.83,33.58,3.28,10.53,1.42,1.42,3.0
5,2004,12.93,20.91,17.39,-7.98,-4.46,1.43,1.43,92.0
6,2005,14.14,16.62,14.72,-2.48,-0.59,1.27,120.0,50.0
7,2006,18.77,26.65,24.77,-7.88,-5.99,1.33,65.0,95.0
8,2007,16.81,16.65,12.71,0.16,4.1,1.3,66.0,18.0
9,2008,-43.14,-45.53,-43.99,2.39,0.85,1.48,79.0,43.0
10,2009,26.11,41.45,31.24,-15.33,-5.13,1.54,83.0,76.0
11,2010,12.86,11.15,10.24,1.71,2.62,1.5,53.0,24.0
12,2011,-18.01,-13.71,-13.97,-4.3,-4.04,1.49,44.0,90.0
13,2012,20.55,16.83,18.29,3.72,2.26,1.5,36.0,19.0
14,2013,30.48,15.29,19.44,15.2,11.05,1.52,37.0,1.0
15,YTD,-5.74,-0.27,-1.63,-5.47,-4.11,-4.11,-4.11,92.0
