,Year,FAFAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,3.45,11.48,6.46,-8.03,-3.01,0.33,0.33,94.0
1,2005,3.01,7.04,3.3,-4.04,-0.29,0.33,18.0,66.0
2,2006,6.03,12.95,7.34,-6.92,-1.3,0.26,21.0,62.0
3,2007,5.38,8.63,4.46,-3.25,0.92,0.25,38.0,36.0
4,2008,-13.64,-22.19,-18.06,8.55,4.42,0.24,56.0,23.0
5,2009,17.82,21.77,18.36,-3.95,-0.54,0.25,44.0,55.0
6,2010,7.58,12.33,8.94,-4.75,-1.35,0.25,31.0,74.0
7,2011,1.91,0.59,1.6,1.32,0.31,0.25,35.0,46.0
8,2012,6.01,12.04,9.01,-6.04,-3.0,0.25,24.0,87.0
9,2013,4.22,14.31,7.36,-10.09,-3.15,0.25,17.0,74.0
10,YTD,4.13,5.81,5.03,-1.68,-0.9,0.25,36.0,78.0
