,Year,FAFDX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.1,24.93,-1.79,-22.84,3.88,3.88,3.88,26.0
1,2000,29.17,-13.18,27.74,42.35,1.43,1.22,73.0,40.0
2,2001,-8.23,-16.82,-2.05,8.59,-6.18,1.18,110.0,71.0
3,2002,-11.77,-19.89,-10.28,8.11,-1.49,1.23,165.0,43.0
4,2003,30.45,33.11,33.56,-2.65,-3.11,1.27,60.0,54.0
5,2004,11.1,14.72,14.02,-3.62,-2.92,1.25,1.25,75.0
6,2005,7.25,9.49,6.74,-2.24,0.51,1.26,61.0,46.0
7,2006,15.67,20.07,16.9,-4.4,-1.23,1.23,33.0,71.0
8,2007,-13.77,9.04,-11.64,-22.81,-2.14,1.22,53.0,61.0
9,2008,-51.52,-40.71,-43.91,-10.81,-7.62,1.21,48.0,70.0
10,2009,24.0,29.99,25.26,-5.98,-1.25,1.28,269.0,54.0
11,2010,6.46,11.76,11.13,-5.3,-4.67,1.22,254.0,75.0
12,2011,-20.54,-5.54,-15.12,-15.0,-5.42,1.21,260.0,80.0
13,2012,28.04,15.83,24.77,12.21,3.26,1.2,441.0,30.0
14,2013,33.39,26.68,34.57,6.72,-1.18,1.21,288.0,47.0
15,YTD,10.17,6.66,4.86,3.51,5.31,1.22,49.0,22.0
