,Year,FAFEX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,9.23,11.48,10.95,-2.25,-1.72,0.33,0.33,86.0
1,2005,7.53,7.04,6.81,0.49,0.72,0.33,2.0,28.0
2,2006,13.14,12.95,13.6,0.18,-0.46,0.26,4.0,61.0
3,2007,8.98,8.63,6.5,0.35,2.48,0.25,8.0,19.0
4,2008,-38.9,-22.19,-36.04,-16.71,-2.86,0.24,10.0,74.0
5,2009,31.57,21.77,28.87,9.79,2.7,0.25,22.0,27.0
6,2010,15.16,12.33,13.47,2.82,1.68,0.25,20.0,14.0
7,2011,-3.15,0.59,-2.26,-3.74,-0.9,0.25,38.0,65.0
8,2012,13.03,12.04,13.59,0.98,-0.56,0.25,16.0,66.0
9,2013,17.3,14.31,16.65,2.99,0.65,0.25,23.0,54.0
10,YTD,6.43,5.81,6.17,0.62,0.26,0.25,53.0,45.0
