,Year,FAFRX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,1.98,10.26,0.84,-8.28,1.13,1.12,76.0,17.0
1,2003,6.57,4.1,10.43,2.47,-3.85,1.05,1.05,73.0
2,2004,3.67,4.34,5.12,-0.67,-1.45,0.94,0.94,83.0
3,2005,4.2,2.43,4.58,1.77,-0.38,0.89,77.0,58.0
4,2006,6.02,4.33,6.57,1.69,-0.55,0.87,75.0,59.0
5,2007,1.78,6.97,1.09,-5.18,0.7,0.89,69.0,17.0
6,2008,-22.83,5.24,-29.72,-28.07,6.89,0.93,32.0,22.0
7,2009,29.56,5.93,41.81,23.63,-12.25,0.96,51.0,85.0
8,2010,8.36,6.54,9.44,1.81,-1.09,0.95,82.0,71.0
9,2011,0.87,7.84,1.63,-6.97,-0.76,0.89,127.0,82.0
10,2012,8.07,4.21,9.43,3.86,-1.36,0.9,81.0,75.0
11,2013,4.53,-2.02,5.68,6.56,-1.15,0.83,43.0,75.0
12,YTD,1.64,5.87,1.88,-4.22,-0.24,-0.24,-0.24,63.0
