,Year,FAHDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.88,-0.82,5.05,9.7,3.83,0.95,61.0,14.0
1,2000,-11.06,11.63,-7.12,-22.69,-3.94,0.94,63.0,80.0
2,2001,-1.08,8.44,2.39,-9.53,-3.47,0.97,68.0,82.0
3,2002,-3.97,10.26,-1.52,-14.22,-2.45,1.01,85.0,75.0
4,2003,43.6,4.1,24.36,39.49,19.24,0.99,0.99,1.0
5,2004,14.94,4.34,9.99,10.6,4.95,0.98,0.98,4.0
6,2005,4.69,2.43,2.59,2.26,2.09,0.99,53.0,6.0
7,2006,15.6,4.33,10.14,11.27,5.46,0.98,51.0,2.0
8,2007,2.29,6.97,1.47,-4.68,0.82,1.02,35.0,36.0
9,2008,-38.96,5.24,-26.41,-44.2,-12.55,1.07,45.0,95.0
10,2009,69.45,5.93,46.7,63.52,22.75,1.07,49.0,3.0
11,2010,17.79,6.54,14.24,11.25,3.55,1.03,53.0,7.0
12,2011,-0.19,7.84,2.83,-8.03,-3.02,1.03,68.0,89.0
13,2012,18.01,4.21,14.67,13.79,3.34,1.03,66.0,10.0
14,2013,9.99,-2.02,6.9,12.02,3.1,1.02,66.0,9.0
15,YTD,4.88,5.87,2.83,-0.98,2.06,2.06,2.06,7.0
