,Year,FAHIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.73,-2.06,-4.7,-0.68,1.97,0.81,23.0,7.0
1,2000,11.65,11.68,11.24,-0.03,0.41,0.81,39.0,41.0
2,2001,4.63,5.13,3.92,-0.5,0.71,0.72,16.0,20.0
3,2002,10.01,9.6,8.45,0.41,1.56,0.77,20.0,14.0
4,2003,5.56,5.31,4.9,0.24,0.66,0.77,0.77,20.0
5,2004,4.66,4.48,3.77,0.18,0.89,0.79,0.79,19.0
6,2005,3.39,3.51,3.1,-0.12,0.3,0.77,22.0,33.0
7,2006,4.4,4.84,4.57,-0.44,-0.17,0.73,26.0,51.0
8,2007,2.64,3.36,1.27,-0.72,1.37,0.74,27.0,17.0
9,2008,-5.09,-2.47,-9.45,-2.61,4.36,0.74,14.0,25.0
10,2009,13.3,12.91,17.3,0.39,-3.99,0.78,6.0,76.0
11,2010,2.13,2.38,1.65,-0.25,0.47,0.77,7.0,37.0
12,2011,10.56,10.7,10.64,-0.14,-0.09,0.76,8.0,55.0
13,2012,7.77,6.78,8.87,0.99,-1.1,0.76,6.0,72.0
14,2013,-3.03,-2.55,-4.59,-0.48,1.56,0.77,12.0,10.0
15,YTD,9.66,8.5,9.8,1.16,-0.13,-0.13,-0.13,59.0
