,Year,FAIGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.5,13.49,10.71,-9.0,-6.21,-6.21,-6.21,80.0
1,2000,-5.71,1.68,1.82,-7.39,-7.53,1.15,120.0,92.0
2,2001,-1.91,-2.46,-5.05,0.55,3.14,1.19,98.0,22.0
3,2002,-9.07,-6.69,-12.02,-2.38,2.95,1.2,106.0,24.0
4,2003,17.55,22.48,20.35,-4.93,-2.8,1.21,1.21,72.0
5,2004,4.97,11.48,8.86,-6.51,-3.89,1.23,1.23,92.0
6,2005,4.97,7.04,5.13,-2.07,-0.16,1.21,145.0,51.0
7,2006,11.29,12.95,11.29,-1.67,-0.0,1.21,45.0,47.0
8,2007,8.22,8.63,5.99,-0.41,2.23,1.2,88.0,22.0
9,2008,-31.98,-22.19,-28.0,-9.78,-3.97,1.2,103.0,80.0
10,2009,26.94,21.77,24.13,5.17,2.81,1.29,215.0,32.0
11,2010,13.01,12.33,11.83,0.68,1.18,1.21,116.0,30.0
12,2011,1.2,0.59,-0.11,0.61,1.32,1.19,146.0,32.0
13,2012,12.1,12.04,11.72,0.06,0.39,1.18,124.0,49.0
14,2013,19.95,14.31,16.48,5.64,3.47,1.16,124.0,20.0
15,YTD,9.93,5.81,6.95,4.12,2.98,1.15,79.0,11.0
