,Year,FALHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.1,21.04,20.16,7.06,7.94,7.94,91.0,66.0
1,2000,-15.17,-9.1,-6.31,-6.07,-8.86,1.89,92.0,58.0
2,2001,-18.34,-11.89,-13.5,-6.45,-4.84,1.94,146.0,36.0
3,2002,-23.96,-22.1,-22.25,-1.86,-1.71,1.99,101.0,27.0
4,2003,23.43,28.68,27.05,-5.26,-3.62,2.0,2.0,79.0
5,2004,4.87,10.88,10.02,-6.01,-5.15,2.03,2.03,77.0
6,2005,10.33,4.91,5.88,5.42,4.46,1.93,188.0,21.0
7,2006,11.82,15.79,14.17,-3.98,-2.35,1.97,92.0,14.0
8,2007,11.59,5.49,6.16,6.1,5.43,1.93,117.0,60.0
9,2008,-47.93,-37.0,-37.79,-10.93,-10.14,1.87,141.0,92.0
10,2009,49.14,26.46,28.17,22.67,20.97,1.9,185.0,8.0
11,2010,16.95,15.06,14.01,1.89,2.94,1.97,146.0,35.0
12,2011,-2.56,2.11,-1.27,-4.67,-1.29,2.04,83.0,66.0
13,2012,19.49,16.0,14.96,3.49,4.53,2.01,59.0,7.0
14,2013,38.05,32.39,31.5,5.66,6.55,2.05,54.0,8.0
15,YTD,10.15,13.98,11.28,-3.82,-1.13,-1.13,-1.13,71.0
