,Year,FAMKX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,,,,,,1.91,1.91,1.91
1,2005,43.16,16.62,31.54,26.54,11.62,1.52,54.0,2.0
2,2006,32.26,26.65,32.06,5.6,0.2,1.49,48.0,49.0
3,2007,44.07,16.65,36.68,27.42,7.39,1.54,48.0,11.0
4,2008,-59.4,-45.53,-54.44,-13.87,-4.96,1.53,61.0,87.0
5,2009,76.67,41.45,73.81,35.22,2.85,1.53,85.0,31.0
6,2010,17.07,11.15,19.26,5.91,-2.19,1.5,86.0,72.0
7,2011,-21.24,-13.71,-19.86,-7.53,-1.38,1.47,122.0,61.0
8,2012,14.15,16.83,18.15,-2.69,-4.0,1.48,177.0,81.0
9,2013,3.53,15.29,-0.14,-11.75,3.67,1.5,121.0,21.0
10,YTD,5.35,-0.27,1.96,5.62,3.39,3.39,3.39,16.0
