,Year,FAMRX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,15.44,1.68,-1.68,13.76,17.12,0.9,338.0,2.0
1,2001,-15.72,-2.46,-9.67,-13.25,-6.05,0.85,255.0,95.0
2,2002,-34.95,-6.69,-14.51,-28.26,-20.44,0.88,280.0,100.0
3,2003,48.65,22.48,25.1,26.17,23.55,1.0,131.0,1.0
4,2004,11.05,11.48,10.93,-0.43,0.11,0.91,0.91,55.0
5,2005,7.34,7.04,7.35,0.29,-0.02,0.89,71.0,46.0
6,2006,12.4,12.95,13.07,-0.55,-0.67,0.87,187.0,66.0
7,2007,7.94,8.63,7.43,-0.7,0.5,0.86,31.0,40.0
8,2008,-38.6,-22.19,-34.34,-16.41,-4.27,0.86,20.0,85.0
9,2009,38.67,21.77,29.37,16.9,9.31,0.94,7.0,6.0
10,2010,16.57,12.33,13.49,4.24,3.09,0.84,25.0,10.0
11,2011,-6.1,0.59,-3.8,-6.69,-2.3,0.8,20.0,86.0
12,2012,15.93,12.04,13.42,3.89,2.51,0.8,21.0,10.0
13,2013,25.16,14.31,21.31,10.85,3.85,0.75,22.0,14.0
14,YTD,7.01,5.81,6.72,1.21,0.3,0.74,14.0,37.0
