,Year,FASDX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,14.36,11.48,10.93,2.88,3.43,1.2,1.2,3.0
1,2005,9.49,7.04,7.35,2.45,2.14,1.13,64.0,3.0
2,2006,13.53,12.95,13.07,0.58,0.47,1.14,125.0,16.0
3,2007,2.74,8.63,7.43,-5.89,-4.69,1.09,90.0,84.0
4,2008,-41.38,-22.19,-34.34,-19.18,-7.04,1.11,114.0,80.0
5,2009,37.48,21.77,29.37,15.71,8.12,1.21,100.0,10.0
6,2010,13.37,12.33,13.49,1.03,-0.12,1.16,130.0,59.0
7,2011,6.92,0.59,-3.8,6.33,10.72,1.14,56.0,9.0
8,2012,14.43,12.04,13.42,2.39,1.01,1.09,50.0,55.0
9,2013,17.48,14.31,21.31,3.17,-3.83,1.04,64.0,98.0
10,YTD,13.31,5.81,6.72,7.51,6.6,6.6,6.6,4.0
