,Year,FASFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.17,-0.82,2.21,3.99,0.95,0.84,139.0,23.0
1,2000,7.74,11.63,7.59,-3.88,0.15,0.83,115.0,51.0
2,2001,6.99,8.44,7.27,-1.46,-0.28,-0.28,145.0,64.0
3,2002,6.27,10.26,5.47,-3.99,0.8,0.82,111.0,32.0
4,2003,3.26,4.1,2.54,-0.84,0.73,0.82,0.82,23.0
5,2004,1.66,4.34,1.63,-2.68,0.03,0.83,0.83,42.0
6,2005,1.65,2.43,1.45,-0.78,0.2,0.81,94.0,36.0
7,2006,4.38,4.33,4.05,0.05,0.34,0.74,55.0,26.0
8,2007,2.6,6.97,4.29,-4.37,-1.69,0.75,91.0,85.0
9,2008,-2.81,5.24,-4.23,-8.05,1.42,0.76,94.0,55.0
10,2009,6.84,5.93,9.3,0.9,-2.47,0.75,318.0,61.0
11,2010,3.54,6.54,4.11,-3.0,-0.56,0.71,217.0,56.0
12,2011,1.76,7.84,1.66,-6.09,0.09,0.7,204.0,41.0
13,2012,2.02,4.21,3.67,-2.2,-1.65,0.7,75.0,80.0
14,2013,0.48,-2.02,0.45,2.51,0.03,0.7,61.0,46.0
15,YTD,1.04,5.87,1.45,-4.83,-0.41,0.71,61.0,65.0
