,Year,FASGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.97,13.49,10.71,0.47,3.26,3.26,3.26,77.0
1,2000,-3.55,1.68,1.82,-5.22,-5.37,0.77,197.0,28.0
2,2001,-7.22,-2.46,-5.05,-4.75,-2.16,0.78,143.0,10.0
3,2002,-14.05,-6.69,-12.02,-7.36,-2.03,0.81,99.0,71.0
4,2003,21.93,22.48,20.35,-0.55,1.58,0.83,72.0,33.0
5,2004,6.05,11.48,8.86,-5.43,-2.81,0.82,0.82,85.0
6,2005,3.77,7.04,5.13,-3.28,-1.36,0.8,37.0,70.0
7,2006,10.33,12.95,11.29,-2.62,-0.96,0.79,82.0,69.0
8,2007,7.2,8.63,5.99,-1.44,1.2,0.78,14.0,32.0
9,2008,-34.92,-22.19,-28.0,-12.73,-6.92,0.78,14.0,91.0
10,2009,35.66,21.77,24.13,13.89,11.53,0.86,13.0,4.0
11,2010,15.78,12.33,11.83,3.44,3.94,0.78,21.0,4.0
12,2011,-3.75,0.59,-0.11,-4.34,-3.64,0.76,16.0,92.0
13,2012,14.12,12.04,11.72,2.07,2.4,0.75,20.0,14.0
14,2013,20.12,14.31,16.48,5.82,3.64,0.73,20.0,18.0
15,YTD,6.58,5.81,6.95,0.77,-0.37,0.72,13.0,55.0
