,Year,FASIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.71,13.49,5.85,-7.79,-0.14,-0.14,-0.14,44.0
1,2000,3.61,1.68,4.28,1.93,-0.67,0.63,140.0,53.0
2,2001,1.33,-2.46,-0.39,3.8,1.72,0.62,164.0,29.0
3,2002,-0.5,-6.69,-3.11,6.19,2.61,0.63,154.0,25.0
4,2003,14.41,22.48,12.34,-8.07,2.07,0.61,276.0,37.0
5,2004,6.42,11.48,5.46,-5.06,0.96,0.61,0.61,40.0
6,2005,6.19,7.04,2.97,-0.85,3.22,0.58,81.0,3.0
7,2006,7.32,12.95,8.16,-5.63,-0.83,0.57,81.0,61.0
8,2007,4.77,8.63,4.53,-3.86,0.23,0.57,6.0,50.0
9,2008,-14.17,-22.19,-18.61,8.02,4.44,0.56,5.0,21.0
10,2009,19.5,21.77,20.77,-2.28,-1.27,0.58,16.0,59.0
11,2010,8.92,12.33,10.03,-3.41,-1.11,0.56,18.0,70.0
12,2011,2.63,0.59,1.7,2.04,0.93,0.54,19.0,30.0
13,2012,6.83,12.04,9.4,-5.21,-2.56,0.54,23.0,85.0
14,2013,5.16,14.31,7.23,-9.15,-2.07,0.52,27.0,72.0
15,YTD,4.49,5.81,4.98,-1.32,-0.49,0.52,13.0,63.0
