,Year,FASMX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.59,13.49,10.71,0.1,2.88,2.88,2.88,30.0
1,2000,2.38,1.68,1.82,0.7,0.56,0.71,109.0,37.0
2,2001,-3.93,-2.46,-5.05,-1.46,1.12,0.71,133.0,37.0
3,2002,-8.05,-6.69,-12.02,-1.36,3.97,0.73,121.0,16.0
4,2003,17.18,22.48,20.35,-5.3,-3.17,0.74,120.0,77.0
5,2004,5.4,11.48,8.86,-6.08,-3.46,0.74,0.74,90.0
6,2005,4.03,7.04,5.13,-3.02,-1.1,0.72,32.0,67.0
7,2006,9.19,12.95,11.29,-3.77,-2.1,0.71,65.0,86.0
8,2007,6.33,8.63,5.99,-2.3,0.34,0.7,12.0,47.0
9,2008,-27.8,-22.19,-28.0,-5.61,0.2,0.7,8.0,47.0
10,2009,30.94,21.77,24.13,9.17,6.81,0.77,15.0,12.0
11,2010,13.51,12.33,11.83,1.18,1.68,0.7,19.0,20.0
12,2011,-0.65,0.59,-0.11,-1.24,-0.53,0.69,14.0,55.0
13,2012,11.37,12.04,11.72,-0.68,-0.35,0.68,19.0,64.0
14,2013,13.96,14.31,16.48,-0.35,-2.52,0.66,21.0,78.0
15,YTD,6.27,5.81,6.95,0.46,-0.68,0.66,10.0,60.0
