,Year,FATHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,9.8,11.48,9.94,-1.68,-0.14,0.33,0.33,50.0
1,2005,7.74,7.04,7.35,0.69,0.39,0.33,5.0,27.0
2,2006,13.17,12.95,14.55,0.22,-1.37,0.25,4.0,80.0
3,2007,9.04,8.63,7.02,0.41,2.02,0.25,5.0,25.0
4,2008,-39.53,-22.19,-37.04,-17.34,-2.48,0.25,9.0,79.0
5,2009,32.08,21.77,30.06,10.31,2.03,0.25,21.0,30.0
6,2010,15.73,12.33,14.28,3.4,1.45,0.25,16.0,12.0
7,2011,-4.56,0.59,-3.51,-5.15,-1.05,0.25,30.0,76.0
8,2012,13.95,12.04,14.64,1.91,-0.69,0.25,13.0,67.0
9,2013,19.95,14.31,20.0,5.64,-0.04,0.25,25.0,65.0
10,YTD,6.48,5.81,6.47,0.67,0.01,0.25,48.0,54.0
