,Year,FATWX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,8.78,11.48,8.96,-2.7,-0.18,0.33,0.33,83.0
1,2005,7.01,7.04,6.59,-0.04,0.42,0.33,10.0,28.0
2,2006,11.89,12.95,14.16,-1.06,-2.27,0.25,5.0,78.0
3,2007,8.57,8.63,6.52,-0.06,2.05,0.25,3.0,22.0
4,2008,-35.37,-22.19,-34.15,-13.18,-1.22,0.24,10.0,63.0
5,2009,30.82,21.77,28.32,9.04,2.5,0.25,29.0,36.0
6,2010,14.68,12.33,13.29,2.35,1.4,0.25,19.0,12.0
7,2011,-2.64,0.59,-2.06,-3.23,-0.58,0.25,34.0,65.0
8,2012,12.69,12.04,13.03,0.64,-0.34,0.25,14.0,57.0
9,2013,15.86,14.31,15.3,1.55,0.56,0.25,22.0,54.0
10,YTD,6.19,5.81,6.13,0.39,0.07,0.25,41.0,51.0
