,Year,FBALX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.86,13.49,10.71,-4.64,-1.85,-1.85,-1.85,61.0
1,2000,5.32,1.68,1.82,3.64,3.5,3.5,3.5,27.0
2,2001,2.25,-2.46,-5.05,4.71,7.3,0.64,115.0,9.0
3,2002,-8.49,-6.69,-12.02,-1.8,3.53,0.66,150.0,20.0
4,2003,28.24,22.48,20.35,5.76,7.89,0.67,137.0,6.0
5,2004,10.94,11.48,8.86,-0.54,2.08,0.66,0.66,20.0
6,2005,10.68,7.04,5.13,3.64,5.56,0.64,82.0,2.0
7,2006,11.65,12.95,11.29,-1.31,0.36,0.63,65.0,39.0
8,2007,8.99,8.63,5.99,0.35,2.99,0.6,89.0,16.0
9,2008,-31.31,-22.19,-28.0,-9.12,-3.3,0.61,73.0,76.0
10,2009,28.05,21.77,24.13,6.28,3.92,0.68,198.0,24.0
11,2010,13.76,12.33,11.83,1.43,1.93,0.61,122.0,16.0
12,2011,1.68,0.59,-0.11,1.09,1.79,0.6,193.0,25.0
13,2012,12.9,12.04,11.72,0.85,1.18,0.59,155.0,30.0
14,2013,20.5,14.31,16.48,6.19,4.02,0.57,244.0,15.0
15,YTD,10.68,5.81,6.95,4.87,3.73,0.56,176.0,5.0
