,Year,FBCVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.5,84.0,84.0
1,2004,14.36,10.88,12.97,3.48,1.39,1.13,1.13,30.0
2,2005,10.06,4.91,5.95,5.15,4.11,0.93,81.0,14.0
3,2006,15.34,15.79,18.15,-0.45,-2.81,0.93,74.0,32.0
4,2007,4.36,5.49,1.42,-1.13,2.94,0.87,92.0,68.0
5,2008,-44.83,-37.0,-37.09,-7.83,-7.74,0.91,61.0,92.0
6,2009,27.78,26.46,24.13,1.31,3.65,0.77,69.0,24.0
7,2010,10.05,15.06,13.66,-5.01,-3.61,0.86,59.0,91.0
8,2011,-8.02,2.11,-0.75,-10.14,-7.28,0.74,141.0,93.0
9,2012,13.83,16.0,14.57,-2.17,-0.73,0.76,102.0,63.0
10,2013,35.64,32.39,31.21,3.25,4.42,0.62,88.0,14.0
11,YTD,11.72,13.98,10.25,-2.25,1.47,0.66,102.0,29.0
