,Year,FBNDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.01,-0.82,-1.35,-0.18,0.34,0.34,0.34,100.0
1,2000,10.84,11.63,9.44,-0.79,1.4,1.4,1.4,2.0
2,2001,8.65,8.44,7.64,0.21,1.0,0.64,0.64,9.0
3,2002,9.44,10.26,8.04,-0.82,1.4,0.66,230.0,2.0
4,2003,4.77,4.1,5.1,0.67,-0.33,0.66,276.0,41.0
5,2004,4.6,4.34,3.91,0.26,0.69,0.63,0.63,24.0
6,2005,2.87,2.43,1.8,0.44,1.07,0.61,227.0,5.0
7,2006,4.97,4.33,4.15,0.63,0.82,0.45,145.0,16.0
8,2007,2.9,6.97,4.7,-4.07,-1.81,0.44,181.0,87.0
9,2008,-7.12,5.24,-4.7,-12.36,-2.42,0.44,110.0,64.0
10,2009,16.02,5.93,13.97,10.09,2.05,0.46,119.0,31.0
11,2010,8.43,6.54,7.72,1.89,0.72,0.45,138.0,30.0
12,2011,7.92,7.84,5.86,0.08,2.06,0.45,275.0,8.0
13,2012,6.22,4.21,7.01,2.0,-0.79,0.45,276.0,57.0
14,2013,-1.74,-2.02,-1.42,0.29,-0.31,0.45,307.0,52.0
15,YTD,5.85,5.87,5.34,-0.02,0.5,0.45,218.0,35.0
