,Year,FBSOX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,29.39,24.93,129.22,4.45,-99.83,-99.83,-99.83,10.0
1,2000,-1.61,-13.18,-31.36,11.57,29.75,1.48,54.0,47.0
2,2001,9.61,-16.82,-36.89,26.43,46.5,1.51,123.0,16.0
3,2002,-26.9,-19.89,-42.86,-7.01,15.96,1.39,159.0,100.0
4,2003,26.14,33.11,55.77,-6.96,-29.62,1.57,129.0,67.0
5,2004,14.61,14.72,4.24,-0.11,10.36,1.63,1.63,51.0
6,2005,6.11,9.49,5.76,-3.37,0.35,1.21,88.0,37.0
7,2006,14.62,20.07,7.08,-5.44,7.55,1.18,73.0,58.0
8,2007,11.54,9.04,16.12,2.5,-4.58,1.15,200.0,34.0
9,2008,-32.91,-40.71,-45.33,7.8,12.41,1.06,212.0,39.0
10,2009,59.05,29.99,61.99,29.07,-2.93,1.0,140.0,29.0
11,2010,18.45,11.76,20.0,6.69,-1.54,0.99,131.0,55.0
12,2011,2.25,-5.54,-7.62,7.79,9.87,0.94,156.0,15.0
13,2012,19.82,15.83,13.08,3.99,6.73,0.91,143.0,12.0
14,2013,53.12,26.68,35.45,26.45,17.68,0.85,107.0,4.0
15,YTD,4.97,6.66,13.32,-1.69,-8.35,0.83,74.0,86.0
