,Year,FCAGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,14.04,4.91,6.02,9.13,8.02,1.36,93.0,5.0
1,2006,12.82,15.79,10.81,-2.98,2.0,1.35,129.0,32.0
2,2007,16.47,5.49,7.59,10.98,8.88,1.65,91.0,13.0
3,2008,-45.1,-37.0,-41.55,-8.1,-3.54,1.39,113.0,78.0
4,2009,42.58,26.46,35.46,16.11,7.12,1.33,150.0,23.0
5,2010,26.28,15.06,26.98,11.22,-0.7,1.34,105.0,56.0
6,2011,-3.13,2.11,-3.55,-5.24,0.43,1.23,106.0,48.0
7,2012,12.67,16.0,13.15,-3.34,-0.48,1.34,150.0,56.0
8,2013,43.99,32.39,40.91,11.6,3.08,1.22,142.0,33.0
9,YTD,0.46,13.98,0.47,-13.52,-0.01,1.22,148.0,54.0
