,Year,FCAMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-6.69,-2.06,-4.6,-4.64,-2.09,-2.09,14.0,90.0
1,2000,11.14,11.68,12.79,-0.55,-1.65,0.49,47.0,88.0
2,2001,5.41,5.13,3.84,0.28,1.57,0.5,29.0,4.0
3,2002,6.81,9.6,8.03,-2.79,-1.22,0.61,22.0,87.0
4,2003,5.77,5.31,4.27,0.46,1.51,0.65,10.0,1.0
5,2004,7.02,4.48,4.37,2.54,2.65,0.65,0.65,3.0
6,2005,6.74,3.51,3.93,3.23,2.81,0.64,5.0,5.0
7,2006,6.3,4.84,4.58,1.45,1.71,0.62,11.0,4.0
8,2007,-1.64,3.36,0.71,-5.0,-2.35,0.62,3.0,90.0
9,2008,-19.96,-2.47,-11.05,-17.49,-8.91,0.62,26.0,91.0
10,2009,28.23,12.91,17.38,15.32,10.85,0.63,10.0,7.0
11,2010,4.94,2.38,1.77,2.56,3.17,0.63,14.0,1.0
12,2011,14.56,10.7,11.74,3.86,2.82,0.62,18.0,5.0
13,2012,13.41,6.78,10.42,6.63,2.99,0.62,7.0,8.0
14,2013,-3.71,-2.55,-3.71,-1.16,0.0,0.61,5.0,53.0
15,YTD,13.54,8.5,11.21,5.04,2.33,0.63,22.0,8.0
