,Year,FCNAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.17,24.93,14.76,-14.77,-4.59,-4.59,-4.59,39.0
1,2000,-9.06,-13.18,-14.28,4.11,5.22,1.5,69.0,16.0
2,2001,-3.05,-16.82,-1.13,13.77,-1.93,1.49,77.0,57.0
3,2002,-15.63,-19.89,-17.74,4.25,2.1,1.47,154.0,30.0
4,2003,24.65,33.11,30.18,-8.45,-5.53,1.48,88.0,79.0
5,2004,9.19,14.72,12.53,-5.53,-3.34,1.45,1.45,68.0
6,2005,2.83,9.49,-0.22,-6.66,3.05,1.42,66.0,32.0
7,2006,12.1,20.07,16.06,-7.97,-3.96,1.39,81.0,67.0
8,2007,-8.65,9.04,-6.83,-17.69,-1.82,1.39,164.0,54.0
9,2008,-34.99,-40.71,-39.8,5.72,4.81,1.4,63.0,34.0
10,2009,38.17,29.99,37.84,8.18,0.33,1.4,99.0,38.0
11,2010,30.98,11.76,27.35,19.22,3.63,1.39,163.0,14.0
12,2011,-2.24,-5.54,1.58,3.3,-3.83,1.38,179.0,65.0
13,2012,20.55,15.83,22.64,4.73,-2.09,1.37,217.0,60.0
14,2013,40.56,26.68,37.14,13.88,3.42,1.29,146.0,43.0
15,YTD,8.1,6.66,6.5,1.44,1.6,1.19,171.0,31.0
