,Year,FCNTX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.03,21.04,38.87,3.99,-13.84,0.62,177.0,21.0
1,2000,-6.8,-9.1,-13.05,2.3,6.24,0.84,166.0,40.0
2,2001,-12.59,-11.89,-22.3,-0.7,9.71,0.91,141.0,51.0
3,2002,-9.63,-22.1,-27.64,12.47,18.01,0.99,80.0,2.0
4,2003,27.95,28.68,28.66,-0.73,-0.7,0.98,0.98,39.0
5,2004,15.07,10.88,7.81,4.19,7.26,0.92,0.92,5.0
6,2005,16.23,4.91,6.71,11.32,9.52,0.88,60.0,3.0
7,2006,11.54,15.79,7.05,-4.26,4.48,0.89,76.0,14.0
8,2007,19.78,5.49,13.35,14.29,6.43,0.89,56.0,19.0
9,2008,-37.16,-37.0,-40.67,-0.17,3.5,0.94,78.0,21.0
10,2009,29.23,26.46,35.68,2.76,-6.46,1.01,58.0,76.0
11,2010,16.93,15.06,15.53,1.87,1.4,0.91,46.0,35.0
12,2011,-0.14,2.11,-2.46,-2.25,2.32,0.81,55.0,30.0
13,2012,16.26,16.0,15.34,0.25,0.92,0.74,48.0,36.0
14,2013,34.15,32.39,33.92,1.76,0.23,0.66,46.0,46.0
15,YTD,10.14,13.98,10.79,-3.84,-0.65,-0.65,-0.65,61.0
