,Year,FCPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,90.07,30.63,49.56,59.44,40.51,1.67,218.0,4.0
1,2000,-29.09,-15.31,-21.04,-13.77,-8.05,1.5,308.0,88.0
2,2001,-9.39,-19.73,-24.05,10.35,14.66,1.57,270.0,2.0
3,2002,-12.53,-14.95,-19.15,2.42,6.62,1.57,222.0,10.0
4,2003,41.32,40.83,33.83,0.49,7.49,1.54,1.54,15.0
5,2004,10.4,20.91,16.23,-10.51,-5.84,1.4,1.4,93.0
6,2005,13.62,16.62,15.23,-3.0,-1.61,1.3,176.0,61.0
7,2006,14.74,26.65,23.95,-11.91,-9.21,1.32,170.0,98.0
8,2007,4.64,16.65,16.26,-12.01,-11.62,1.39,146.0,98.0
9,2008,-50.88,-45.53,-46.56,-5.36,-4.32,1.25,394.0,81.0
10,2009,55.7,41.45,38.02,14.26,17.68,1.15,414.0,8.0
11,2010,15.62,11.15,14.78,4.47,0.84,1.27,490.0,31.0
12,2011,-13.1,-13.71,-12.3,0.6,-0.8,1.38,254.0,61.0
13,2012,25.73,16.83,17.7,8.9,8.03,1.41,142.0,1.0
14,2013,21.3,15.29,18.58,6.01,2.71,1.39,138.0,32.0
15,YTD,4.52,-0.27,-0.63,4.79,5.14,5.14,5.14,7.0
