,Year,FCTFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.8,-2.06,-4.6,-0.74,1.81,1.81,1.81,3.0
1,2000,12.53,11.68,12.79,0.84,-0.26,0.49,35.0,57.0
2,2001,4.7,5.13,3.84,-0.43,0.86,0.42,16.0,13.0
3,2002,8.48,9.6,8.03,-1.12,0.45,0.43,13.0,33.0
4,2003,4.94,5.31,4.27,-0.37,0.68,0.47,18.0,15.0
5,2004,4.85,4.48,4.37,0.37,0.48,0.48,0.48,25.0
6,2005,3.63,3.51,3.93,0.11,-0.3,0.47,15.0,50.0
7,2006,4.67,4.84,4.58,-0.18,0.08,0.45,19.0,37.0
8,2007,2.88,3.36,0.71,-0.48,2.17,0.44,23.0,7.0
9,2008,-5.61,-2.47,-11.05,-3.14,5.44,0.43,27.0,13.0
10,2009,11.66,12.91,17.38,-1.25,-5.72,0.46,26.0,89.0
11,2010,3.18,2.38,1.77,0.8,1.41,0.47,15.0,12.0
12,2011,11.24,10.7,11.74,0.54,-0.5,0.46,8.0,65.0
13,2012,8.42,6.78,10.42,1.64,-2.0,0.46,9.0,85.0
14,2013,-1.73,-2.55,-3.71,0.82,1.98,0.46,9.0,3.0
15,YTD,9.95,8.5,11.21,1.45,-1.26,0.46,13.0,73.0
