,Year,FCVSX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,44.08,13.49,29.21,30.59,14.87,0.82,246.0,21.0
1,2000,7.21,1.68,2.52,5.53,4.69,0.77,262.0,32.0
2,2001,0.5,-2.46,-6.57,2.96,7.07,0.76,367.0,11.0
3,2002,-13.89,-6.69,-7.77,-7.19,-6.12,0.85,138.0,93.0
4,2003,28.32,22.48,26.24,5.84,2.08,0.82,0.82,27.0
5,2004,10.21,11.48,9.03,-1.27,1.17,0.66,0.66,34.0
6,2005,5.95,7.04,3.59,-1.09,2.37,0.69,81.0,25.0
7,2006,15.13,12.95,10.72,2.18,4.41,0.83,35.0,5.0
8,2007,16.24,8.63,7.51,7.61,8.73,0.79,24.0,10.0
9,2008,-47.78,-22.19,-33.38,-25.58,-14.39,0.78,39.0,100.0
10,2009,64.11,21.77,40.58,42.34,23.53,0.69,31.0,1.0
11,2010,20.85,12.33,16.77,8.52,4.09,0.59,28.0,2.0
12,2011,-7.33,0.59,-5.62,-7.93,-1.71,0.61,24.0,79.0
13,2012,16.82,12.04,10.92,4.78,5.9,0.76,20.0,1.0
14,2013,24.06,14.31,21.66,9.75,2.39,0.72,22.0,32.0
15,YTD,9.24,5.81,7.39,3.44,1.86,1.86,1.86,21.0
