,Year,FDAFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,8.41,11.48,9.61,-3.07,-1.2,0.33,0.33,76.0
1,2005,6.62,7.04,5.8,-0.42,0.82,0.33,1.0,23.0
2,2006,11.63,12.95,11.95,-1.32,-0.32,0.26,6.0,60.0
3,2007,8.36,8.63,6.02,-0.27,2.34,0.25,13.0,16.0
4,2008,-33.76,-22.19,-29.46,-11.57,-4.3,0.24,10.0,69.0
5,2009,29.46,21.77,24.25,7.68,5.2,0.25,31.0,20.0
6,2010,13.78,12.33,12.27,1.45,1.51,0.25,26.0,19.0
7,2011,-1.41,0.59,-0.22,-2.0,-1.19,0.25,39.0,67.0
8,2012,11.28,12.04,11.68,-0.76,-0.4,0.25,18.0,59.0
9,2013,12.67,14.31,11.57,-1.64,1.1,0.25,21.0,49.0
10,YTD,5.83,5.81,5.64,0.02,0.19,0.25,40.0,41.0
