,Year,FDCAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,45.84,21.04,38.87,24.8,6.97,0.65,78.0,12.0
1,2000,-18.1,-9.1,-13.05,-9.0,-5.06,0.83,85.0,96.0
2,2001,-7.56,-11.89,-22.3,4.33,14.75,0.91,120.0,10.0
3,2002,-21.27,-22.1,-27.64,0.84,6.38,1.03,80.0,11.0
4,2003,51.68,28.68,28.66,22.99,23.02,0.88,0.88,2.0
5,2004,11.26,10.88,7.81,0.38,3.45,0.91,0.91,21.0
6,2005,5.8,4.91,6.71,0.89,-0.91,0.9,109.0,54.0
7,2006,13.8,15.79,7.05,-1.99,6.75,0.87,198.0,7.0
8,2007,6.86,5.49,13.35,1.37,-6.49,0.82,135.0,81.0
9,2008,-40.5,-37.0,-40.67,-3.5,0.17,0.82,157.0,50.0
10,2009,36.38,26.46,35.68,9.92,0.7,0.78,243.0,39.0
11,2010,18.34,15.06,15.53,3.28,2.81,0.86,186.0,25.0
12,2011,-2.67,2.11,-2.46,-4.78,-0.21,0.9,182.0,56.0
13,2012,22.45,16.0,15.34,6.45,7.11,0.95,169.0,4.0
14,2013,35.96,32.39,33.92,3.57,2.04,0.77,156.0,28.0
15,YTD,12.08,13.98,10.79,-1.9,1.29,1.29,1.29,35.0
