,Year,FDESX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.96,21.04,20.16,-16.08,-15.2,-15.2,-15.2,55.0
1,2000,-20.07,-9.1,-6.31,-10.96,-13.76,-13.76,145.0,79.0
2,2001,-17.29,-11.89,-13.5,-5.4,-3.78,0.37,119.0,30.0
3,2002,-22.77,-22.1,-22.25,-0.67,-0.52,0.44,93.0,18.0
4,2003,25.67,28.68,27.05,-3.01,-1.37,0.46,71.0,61.0
5,2004,6.86,10.88,10.02,-4.03,-3.17,0.47,0.47,57.0
6,2005,12.01,4.91,5.88,7.1,6.13,0.44,130.0,14.0
7,2006,9.61,15.79,14.17,-6.18,-4.55,0.48,66.0,26.0
8,2007,9.2,5.49,6.16,3.7,3.03,0.48,148.0,72.0
9,2008,-47.57,-37.0,-37.79,-10.57,-9.78,0.48,121.0,92.0
10,2009,48.55,26.46,28.17,22.09,20.38,0.5,162.0,9.0
11,2010,19.73,15.06,14.01,4.67,5.72,0.5,102.0,6.0
12,2011,0.4,2.11,-1.27,-1.71,1.67,0.5,76.0,38.0
13,2012,19.59,16.0,14.96,3.59,4.63,0.51,40.0,6.0
14,2013,34.03,32.39,31.5,1.65,2.53,0.49,55.0,27.0
15,YTD,12.02,13.98,11.28,-1.96,0.73,0.5,55.0,48.0
