,Year,FDETX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.4,21.04,38.87,4.36,-13.48,-13.48,-13.48,20.0
1,2000,-13.75,-9.1,-13.05,-4.64,-0.7,-0.7,113.0,89.0
2,2001,-9.35,-11.89,-22.3,2.53,12.95,0.55,196.0,17.0
3,2002,-15.37,-22.1,-27.64,6.73,12.27,0.43,326.0,5.0
4,2003,20.23,28.68,28.66,-8.46,-8.43,0.5,349.0,95.0
5,2004,10.6,10.88,7.81,-0.28,2.8,0.55,0.55,40.0
6,2005,2.37,4.91,6.71,-2.54,-4.34,0.51,244.0,88.0
7,2006,13.98,15.79,7.05,-1.81,6.93,0.57,184.0,57.0
8,2007,15.34,5.49,13.35,9.84,1.98,0.59,200.0,36.0
9,2008,-43.26,-37.0,-40.67,-6.26,-2.59,0.58,283.0,74.0
10,2009,28.84,26.46,35.68,2.37,-6.84,0.6,152.0,77.0
11,2010,20.21,15.06,15.53,5.14,4.68,0.6,62.0,13.0
12,2011,-4.01,2.11,-2.46,-6.13,-1.55,0.59,118.0,65.0
13,2012,17.02,16.0,15.34,1.02,1.68,0.6,43.0,29.0
14,2013,31.63,32.39,33.92,-0.76,-2.29,0.59,57.0,70.0
15,YTD,10.96,13.98,10.79,-3.02,0.17,0.59,115.0,49.0
