,Year,FDIVX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,50.65,30.63,40.28,20.02,10.36,1.18,73.0,24.0
1,2000,-8.96,-15.31,-16.34,6.36,7.38,1.12,94.0,13.0
2,2001,-12.99,-19.73,-21.67,6.75,8.69,1.16,86.0,6.0
3,2002,-9.37,-14.95,-16.69,5.57,7.32,1.19,66.0,5.0
4,2003,42.38,40.83,33.58,1.55,8.8,1.22,1.22,5.0
5,2004,19.66,20.91,17.39,-1.25,2.27,1.12,1.12,19.0
6,2005,17.23,16.62,14.72,0.61,2.5,1.07,41.0,33.0
7,2006,22.52,26.65,24.77,-4.14,-2.25,0.97,59.0,63.0
8,2007,16.03,16.65,12.71,-0.62,3.32,0.91,51.0,56.0
9,2008,-45.21,-45.53,-43.99,0.32,-1.22,1.02,49.0,39.0
10,2009,31.78,41.45,31.24,-9.67,0.53,0.99,54.0,73.0
11,2010,9.65,11.15,10.24,-1.5,-0.58,0.96,57.0,55.0
12,2011,-13.78,-13.71,-13.97,-0.07,0.19,0.87,45.0,48.0
13,2012,19.41,16.83,18.29,2.58,1.12,0.99,35.0,28.0
14,2013,25.19,15.29,19.44,9.9,5.75,0.92,52.0,10.0
15,YTD,-0.57,-0.27,-1.63,-0.3,1.06,1.06,1.06,31.0
