,Year,FDMAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-21.51,-16.82,-36.89,-4.69,15.38,15.38,644.0,19.0
1,2002,-46.11,-19.89,-42.86,-26.23,-3.26,-3.26,418.0,82.0
2,2003,68.7,33.11,55.77,35.6,12.94,1.36,167.0,4.0
3,2004,15.07,14.72,4.24,0.35,10.83,1.35,1.35,70.0
4,2005,2.77,9.49,5.76,-6.71,-2.99,1.28,250.0,68.0
5,2006,4.53,20.07,7.08,-15.53,-2.54,1.32,174.0,83.0
6,2007,8.07,9.04,16.12,-0.96,-8.05,1.4,58.0,62.0
7,2008,-50.06,-40.71,-45.33,-9.34,-4.73,1.39,63.0,67.0
8,2009,80.18,29.99,61.99,50.19,18.19,1.4,97.0,5.0
9,2010,28.85,11.76,20.0,17.09,8.85,1.38,106.0,7.0
10,2011,-18.9,-5.54,-7.62,-13.36,-11.28,1.39,101.0,87.0
11,2012,6.18,15.83,13.08,-9.65,-6.9,1.39,79.0,76.0
12,2013,26.98,26.68,35.45,0.3,-8.47,1.37,33.0,75.0
13,YTD,12.28,6.66,13.32,5.63,-1.03,1.39,160.0,50.0
