,Year,FDMMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.13,-2.06,-4.0,-0.07,1.87,1.87,1.87,15.0
1,2000,11.84,11.68,11.06,0.16,0.78,0.48,22.0,32.0
2,2001,4.41,5.13,4.24,-0.72,0.17,0.42,14.0,31.0
3,2002,9.7,9.6,8.53,0.1,1.17,0.42,18.0,12.0
4,2003,5.31,5.31,4.58,-0.0,0.73,0.46,15.0,13.0
5,2004,4.54,4.48,3.41,0.06,1.12,0.47,0.47,13.0
6,2005,3.62,3.51,2.6,0.1,1.02,0.46,22.0,10.0
7,2006,4.72,4.84,4.08,-0.12,0.64,0.44,21.0,13.0
8,2007,3.26,3.36,1.82,-0.1,1.44,0.44,14.0,17.0
9,2008,-3.57,-2.47,-7.31,-1.1,3.74,0.42,18.0,30.0
10,2009,12.69,12.91,16.63,-0.23,-3.94,0.44,14.0,72.0
11,2010,2.36,2.38,1.08,-0.02,1.27,0.46,3.0,17.0
12,2011,10.38,10.7,10.46,-0.32,-0.08,0.46,11.0,62.0
13,2012,7.17,6.78,6.97,0.39,0.2,0.46,11.0,47.0
14,2013,-3.46,-2.55,-5.11,-0.91,1.65,0.46,19.0,21.0
15,YTD,9.25,8.5,8.55,0.74,0.7,0.46,11.0,42.0
