,Year,FDVAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,58.3,30.63,40.28,27.67,18.02,1.97,78.0,14.0
1,2000,-8.46,-15.31,-16.34,6.85,7.87,1.5,87.0,11.0
2,2001,-13.49,-19.73,-21.67,6.25,8.19,1.46,84.0,6.0
3,2002,-9.19,-14.95,-16.69,5.76,7.5,1.43,65.0,5.0
4,2003,41.02,40.83,33.58,0.19,7.43,1.39,1.39,8.0
5,2004,19.02,20.91,17.39,-1.89,1.63,1.27,1.27,22.0
6,2005,18.99,16.62,14.72,2.37,4.27,1.2,59.0,21.0
7,2006,16.6,26.65,24.77,-10.05,-8.17,1.2,83.0,95.0
8,2007,9.69,16.65,12.71,-6.96,-3.02,1.21,105.0,74.0
9,2008,-41.75,-45.53,-43.99,3.77,2.24,1.22,88.0,25.0
10,2009,23.12,41.45,31.24,-18.32,-8.12,1.31,92.0,86.0
11,2010,9.82,11.15,10.24,-1.33,-0.41,1.3,59.0,53.0
12,2011,-13.72,-13.71,-13.97,-0.01,0.25,1.29,48.0,47.0
13,2012,20.18,16.83,18.29,3.35,1.89,1.31,34.0,22.0
14,2013,25.99,15.29,19.44,10.7,6.55,1.28,50.0,8.0
15,YTD,-0.75,-0.27,-1.63,-0.48,0.88,0.88,0.88,33.0
