,Year,FEAAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,77.34,30.63,73.61,46.71,3.72,2.03,62.0,31.0
1,2000,-37.01,-15.31,-25.36,-21.69,-11.65,1.96,96.0,78.0
2,2001,-5.66,-19.73,-2.63,14.07,-3.04,1.97,62.0,46.0
3,2002,-12.37,-14.95,-8.76,2.58,-3.61,1.98,116.0,49.0
4,2003,41.34,40.83,53.64,0.51,-12.3,2.02,2.02,71.0
5,2004,13.05,20.91,13.21,-7.86,-0.16,1.99,1.99,67.0
6,2005,31.68,16.62,21.3,15.06,10.38,1.55,66.0,16.0
7,2006,38.93,26.65,45.36,12.28,-6.43,1.39,77.0,48.0
8,2007,40.81,16.65,47.53,24.16,-6.71,1.4,66.0,67.0
9,2008,-45.66,-45.53,-53.5,-0.14,7.83,1.41,92.0,16.0
10,2009,72.58,41.45,71.16,31.13,1.42,1.41,91.0,40.0
11,2010,21.85,11.15,18.77,10.7,3.08,1.4,138.0,33.0
12,2011,-16.78,-13.71,-20.95,-3.07,4.17,1.35,119.0,30.0
13,2012,20.98,16.83,23.62,4.15,-2.64,1.38,95.0,70.0
14,2013,3.47,15.29,2.21,-11.81,1.27,1.38,95.0,41.0
15,YTD,7.44,-0.27,8.16,7.71,-0.73,-0.73,-0.73,41.0
