,Year,FEMKX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,70.5,30.63,70.56,39.87,-0.06,-0.06,94.0,46.0
1,2000,-32.95,-15.31,-30.33,-17.64,-2.61,1.35,100.0,67.0
2,2001,-2.48,-19.73,-3.83,17.25,1.35,1.45,113.0,37.0
3,2002,-6.93,-14.95,-6.05,8.02,-0.88,1.39,114.0,58.0
4,2003,48.8,40.83,55.19,7.97,-6.39,1.36,1.36,79.0
5,2004,22.94,20.91,23.54,2.03,-0.6,1.18,1.18,55.0
6,2005,44.31,16.62,31.54,27.69,12.77,1.07,68.0,1.0
7,2006,33.39,26.65,32.06,6.73,1.33,1.01,66.0,38.0
8,2007,45.06,16.65,36.68,28.4,8.37,0.99,52.0,9.0
9,2008,-60.83,-45.53,-54.44,-15.31,-6.39,1.02,63.0,92.0
10,2009,76.0,41.45,73.81,34.55,2.19,1.1,88.0,36.0
11,2010,18.22,11.15,19.26,7.06,-1.04,1.09,85.0,52.0
12,2011,-21.04,-13.71,-19.86,-7.33,-1.18,1.01,122.0,60.0
13,2012,14.64,16.83,18.15,-2.19,-3.51,1.03,176.0,79.0
14,2013,3.87,15.29,-0.14,-11.41,4.01,1.03,119.0,20.0
15,YTD,5.89,-0.27,1.96,6.17,3.93,3.93,3.93,12.0
