,Year,FEQTX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.37,21.04,6.72,-16.67,-2.35,0.64,71.0,57.0
1,2000,7.46,-9.1,7.87,16.56,-0.41,0.63,151.0,51.0
2,2001,-7.16,-11.89,-4.99,4.73,-2.17,0.62,128.0,61.0
3,2002,-15.43,-22.1,-18.69,6.67,3.26,0.63,136.0,24.0
4,2003,32.6,28.68,28.44,3.91,4.16,0.64,0.64,17.0
5,2004,9.88,10.88,12.97,-1.0,-3.09,0.64,0.64,81.0
6,2005,4.63,4.91,5.95,-0.28,-1.32,0.62,143.0,64.0
7,2006,13.73,15.79,18.15,-2.07,-4.43,0.66,160.0,93.0
8,2007,4.47,5.49,1.42,-1.02,3.05,0.65,47.0,27.0
9,2008,-40.38,-37.0,-37.09,-3.39,-3.29,0.67,76.0,75.0
10,2009,25.12,26.46,24.13,-1.35,0.99,0.74,75.0,37.0
11,2010,13.54,15.06,13.66,-1.52,-0.12,0.69,30.0,46.0
12,2011,-2.75,2.11,-0.75,-4.86,-2.01,0.67,82.0,65.0
13,2012,14.7,16.0,14.57,-1.31,0.13,0.66,78.0,52.0
14,2013,29.06,32.39,31.21,-3.33,-2.15,0.63,86.0,75.0
15,YTD,11.71,13.98,10.25,-2.27,1.46,1.46,1.46,29.0
