,Year,FFALX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,13.58,11.48,10.93,2.1,2.65,0.6,1.0,5.0
1,2005,6.31,7.04,7.35,-0.73,-1.04,0.54,1.0,72.0
2,2006,19.34,12.95,13.07,6.39,6.27,0.5,1.0,1.0
3,2007,3.12,8.63,7.43,-5.52,-4.32,0.5,1.0,92.0
4,2008,-37.66,-22.19,-34.34,-15.47,-3.33,0.48,4.0,80.0
5,2009,31.05,21.77,29.37,9.28,1.68,0.37,4.0,32.0
6,2010,10.61,12.33,13.49,-1.72,-2.87,0.35,4.0,90.0
7,2011,-1.95,0.59,-3.8,-2.54,1.85,0.34,4.0,25.0
8,2012,16.76,12.04,13.42,4.72,3.34,0.33,4.0,5.0
9,2013,23.64,14.31,21.31,9.34,2.33,0.39,3.0,26.0
10,YTD,4.5,5.81,6.72,-1.31,-2.22,-2.22,-2.22,89.0
