,Year,FFAVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,6.16,11.48,6.82,-5.32,-0.66,0.33,0.33,62.0
1,2005,5.04,7.04,3.68,-2.0,1.36,0.33,24.0,15.0
2,2006,9.09,12.95,8.58,-3.86,0.52,0.26,34.0,37.0
3,2007,7.28,8.63,5.22,-1.35,2.06,0.25,30.0,11.0
4,2008,-25.62,-22.19,-22.46,-3.43,-3.15,0.24,30.0,62.0
5,2009,24.16,21.77,22.42,2.39,1.74,0.25,54.0,37.0
6,2010,10.98,12.33,10.68,-1.35,0.3,0.25,35.0,43.0
7,2011,0.04,0.59,0.91,-0.55,-0.86,0.25,41.0,68.0
8,2012,8.34,12.04,9.61,-3.7,-1.26,0.25,28.0,77.0
9,2013,7.66,14.31,8.3,-6.65,-0.64,0.25,23.0,64.0
10,YTD,4.87,5.81,4.98,-0.94,-0.1,0.25,49.0,54.0
