,Year,FFFAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.19,13.49,4.54,-6.3,2.65,2.65,2.65,1.0
1,2000,6.28,1.68,4.39,4.6,1.9,0.07,37.0,1.0
2,2001,2.22,-2.46,0.14,4.68,2.07,0.08,40.0,50.0
3,2002,-0.26,-6.69,-3.93,6.43,3.67,0.07,9.0,1.0
4,2003,7.33,22.48,13.04,-15.15,-5.71,0.08,7.0,100.0
5,2004,3.89,11.48,6.46,-7.59,-2.57,0.08,0.08,85.0
6,2005,3.78,7.04,3.3,-3.27,0.48,0.08,7.0,30.0
7,2006,6.37,12.95,7.34,-6.58,-0.96,0.01,18.0,57.0
8,2007,4.83,8.63,4.46,-3.8,0.37,0.37,26.0,52.0
9,2008,-12.14,-22.19,-18.06,10.06,5.92,5.92,33.0,16.0
10,2009,16.12,21.77,18.36,-5.66,-2.24,-2.24,35.0,73.0
11,2010,7.63,12.33,8.94,-4.7,-1.31,-1.31,29.0,72.0
12,2011,2.02,0.59,1.6,1.43,0.42,0.42,38.0,45.0
13,2012,6.4,12.04,9.01,-5.65,-2.61,-2.61,20.0,83.0
14,2013,4.56,14.31,7.36,-9.75,-2.81,-2.81,14.0,73.0
15,YTD,4.42,5.81,5.03,-1.38,-0.61,-0.61,31.0,70.0
