,Year,FFFCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,19.04,13.49,9.09,5.54,9.95,9.95,9.95,1.0
1,2000,0.67,1.68,2.7,-1.01,-2.03,0.07,33.0,60.0
2,2001,-4.34,-2.46,-0.54,-1.88,-3.8,0.08,42.0,85.0
3,2002,-6.85,-6.69,-4.11,-0.15,-2.74,0.07,10.0,76.0
4,2003,17.13,22.48,13.67,-5.35,3.45,0.08,8.0,19.0
5,2004,7.28,11.48,6.82,-4.2,0.46,0.08,0.08,32.0
6,2005,5.92,7.04,3.68,-1.13,2.24,0.08,1.0,2.0
7,2006,9.46,12.95,8.58,-3.5,0.88,0.01,8.0,32.0
8,2007,7.43,8.63,5.22,-1.21,2.21,2.21,12.0,8.0
9,2008,-25.32,-22.19,-22.46,-3.13,-2.86,-2.86,34.0,60.0
10,2009,24.82,21.77,22.42,3.04,2.4,2.4,39.0,27.0
11,2010,11.65,12.33,10.68,-0.69,0.97,0.97,25.0,28.0
12,2011,-0.28,0.59,0.91,-0.87,-1.18,-1.18,34.0,74.0
13,2012,10.43,12.04,9.61,-1.62,0.82,0.82,18.0,37.0
14,2013,11.08,14.31,8.3,-3.23,2.78,2.78,19.0,17.0
15,YTD,5.65,5.81,4.98,-0.16,0.67,0.67,35.0,22.0
