,Year,FFFDX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.31,13.49,18.34,11.81,6.96,6.96,6.96,40.0
1,2000,-3.03,1.68,-4.21,-4.71,1.19,0.07,28.0,1.0
2,2001,-9.07,-2.46,-9.85,-6.6,0.78,0.08,50.0,60.0
3,2002,-13.71,-6.69,-13.42,-7.02,-0.29,0.07,10.0,56.0
4,2003,24.9,22.48,21.84,2.42,3.07,0.08,6.0,16.0
5,2004,9.6,11.48,9.61,-1.88,-0.01,0.08,0.08,47.0
6,2005,7.71,7.04,5.8,0.67,1.91,0.08,0.08,1.0
7,2006,11.61,12.95,11.95,-1.35,-0.35,0.01,4.0,62.0
8,2007,8.54,8.63,6.02,-0.09,2.52,2.52,7.0,12.0
9,2008,-32.12,-22.19,-29.46,-9.93,-2.66,-2.66,35.0,51.0
10,2009,28.86,21.77,24.25,7.08,4.61,4.61,35.0,24.0
11,2010,12.93,12.33,12.27,0.6,0.66,0.66,29.0,39.0
12,2011,-1.36,0.59,-0.22,-1.95,-1.14,-1.14,42.0,66.0
13,2012,11.77,12.04,11.68,-0.28,0.08,0.08,24.0,45.0
14,2013,13.22,14.31,11.57,-1.09,1.65,1.65,25.0,42.0
15,YTD,6.26,5.81,5.64,0.45,0.61,0.61,39.0,28.0
