,Year,FFFFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-13.5,-2.46,-13.81,-11.03,0.32,0.08,38.0,20.0
1,2002,-19.66,-6.69,-16.99,-12.97,-2.67,0.08,5.0,69.0
2,2003,31.16,22.48,26.65,8.68,4.51,0.08,4.0,1.0
3,2004,11.32,11.48,11.71,-0.16,-0.4,0.08,0.08,60.0
4,2005,9.06,7.04,7.41,2.01,1.64,0.08,1.0,1.0
5,2006,13.49,12.95,14.67,0.54,-1.18,0.01,4.0,72.0
6,2007,9.31,8.63,6.21,0.68,3.1,3.1,4.0,7.0
7,2008,-38.8,-22.19,-37.94,-16.61,-0.86,-0.86,37.0,61.0
8,2009,31.65,21.77,30.9,9.88,0.75,0.75,17.0,42.0
9,2010,14.62,12.33,14.37,2.28,0.25,0.25,27.0,50.0
10,2011,-4.63,0.59,-3.49,-5.23,-1.14,-1.14,46.0,63.0
11,2012,14.53,12.04,14.64,2.49,-0.1,-0.1,27.0,61.0
12,2013,21.05,14.31,19.97,6.74,1.07,1.07,33.0,56.0
13,YTD,6.93,5.81,6.5,1.13,0.44,0.44,49.0,39.0
