,Year,FFFVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,6.95,11.48,6.82,-4.53,0.13,0.08,0.08,40.0
1,2005,5.68,7.04,3.68,-1.36,2.0,0.08,7.0,5.0
2,2006,9.23,12.95,8.58,-3.73,0.65,0.65,4.0,36.0
3,2007,7.27,8.63,5.22,-1.37,2.05,2.05,12.0,11.0
4,2008,-24.45,-22.19,-22.46,-2.26,-1.98,-1.98,31.0,52.0
5,2009,23.4,21.77,22.42,1.63,0.98,0.98,43.0,45.0
6,2010,10.57,12.33,10.68,-1.76,-0.11,-0.11,34.0,55.0
7,2011,0.18,0.59,0.91,-0.41,-0.73,-0.73,38.0,64.0
8,2012,8.82,12.04,9.61,-3.22,-0.78,-0.78,29.0,69.0
9,2013,8.01,14.31,8.3,-6.3,-0.29,-0.29,22.0,57.0
10,YTD,5.18,5.81,4.98,-0.63,0.2,0.2,44.0,44.0
