,Year,FFIDX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,24.21,21.04,38.87,3.17,-14.66,-14.66,-14.66,25.0
1,2000,-10.97,-9.1,-13.05,-1.87,2.08,0.56,113.0,79.0
2,2001,-11.22,-11.89,-22.3,0.66,11.08,0.51,167.0,29.0
3,2002,-22.25,-22.1,-27.64,-0.15,5.39,0.53,155.0,44.0
4,2003,27.26,28.68,28.66,-1.42,-1.4,0.61,32.0,49.0
5,2004,7.84,10.88,7.81,-3.04,0.04,0.59,0.59,78.0
6,2005,7.52,4.91,6.71,2.61,0.81,0.57,74.0,27.0
7,2006,13.67,15.79,7.05,-2.13,6.61,0.56,72.0,61.0
8,2007,16.81,5.49,13.35,11.31,3.45,0.56,50.0,4.0
9,2008,-40.33,-37.0,-40.67,-3.34,0.33,0.55,80.0,76.0
10,2009,26.75,26.46,35.68,0.28,-8.93,0.64,91.0,51.0
11,2010,14.55,15.06,15.53,-0.51,-0.98,0.6,77.0,38.0
12,2011,-2.36,2.11,-2.46,-4.47,0.1,0.58,88.0,65.0
13,2012,16.57,16.0,15.34,0.56,1.23,0.58,102.0,33.0
14,2013,29.01,32.39,33.92,-3.38,-4.91,0.55,113.0,89.0
15,YTD,12.49,13.98,10.79,-1.48,1.7,0.53,93.0,31.0
