,Year,FFNOX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,-7.65,1.68,-1.68,-9.33,-5.97,0.08,2.0,84.0
1,2001,-10.04,-2.46,-9.67,-7.57,-0.37,0.08,23.0,20.0
2,2002,-15.97,-6.69,-14.51,-9.28,-1.46,0.08,21.0,8.0
3,2003,28.25,22.48,25.1,5.77,3.15,0.08,18.0,32.0
4,2004,12.34,11.48,10.93,0.86,1.41,0.08,0.08,19.0
5,2005,6.47,7.04,7.35,-0.57,-0.88,0.08,3.0,38.0
6,2006,15.43,12.95,13.07,2.48,2.36,0.08,3.0,30.0
7,2007,6.16,8.63,7.43,-2.47,-1.27,0.08,1.0,42.0
8,2008,-32.62,-22.19,-34.34,-10.43,1.71,0.08,8.0,12.0
9,2009,25.0,21.77,29.37,3.22,-4.37,0.08,21.0,68.0
10,2010,13.66,12.33,13.49,1.33,0.17,0.08,26.0,54.0
11,2011,-1.39,0.59,-3.8,-1.98,2.41,0.08,19.0,17.0
12,2012,15.1,12.04,13.42,3.05,1.67,0.08,16.0,23.0
13,2013,24.53,14.31,21.31,10.22,3.22,0.08,13.0,19.0
14,YTD,7.69,5.81,6.72,1.88,0.97,0.08,9.0,27.0
