,Year,FFRAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,0.78,12.0,12.0
1,2001,4.47,8.44,1.64,-3.98,2.82,2.82,55.0,4.0
2,2002,1.77,10.26,0.84,-8.49,0.92,1.09,62.0,24.0
3,2003,6.16,4.1,10.43,2.06,-4.26,1.09,1.09,82.0
4,2004,4.1,4.34,5.12,-0.23,-1.02,1.08,1.08,70.0
5,2005,4.08,2.43,4.58,1.65,-0.5,1.06,66.0,66.0
6,2006,6.15,4.33,6.57,1.82,-0.42,1.05,61.0,52.0
7,2007,2.32,6.97,1.09,-4.65,1.23,1.02,69.0,7.0
8,2008,-16.73,5.24,-29.72,-21.97,12.98,1.06,16.0,3.0
9,2009,28.45,5.93,41.81,22.52,-13.36,1.04,25.0,90.0
10,2010,7.49,6.54,9.44,0.94,-1.96,1.03,43.0,92.0
11,2011,1.44,7.84,1.63,-6.4,-0.2,1.0,54.0,57.0
12,2012,6.6,4.21,9.43,2.39,-2.83,0.99,49.0,96.0
13,2013,3.62,-2.02,5.68,5.64,-2.06,0.99,62.0,95.0
14,YTD,1.5,5.87,1.88,-4.36,-0.38,-0.38,-0.38,72.0
