,Year,FFTFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,1.3,4.48,1.19,-3.18,0.11,0.5,0.5,41.0
1,2005,0.63,3.51,1.21,-2.88,-0.58,0.5,16.0,78.0
2,2006,2.91,4.84,2.95,-1.93,-0.04,0.5,32.0,56.0
3,2007,3.97,3.36,3.31,0.61,0.66,0.5,58.0,23.0
4,2008,2.74,-2.47,0.86,5.22,1.88,0.5,18.0,43.0
5,2009,5.4,12.91,5.91,-7.52,-0.51,0.53,13.0,61.0
6,2010,2.68,2.38,1.61,0.3,1.07,0.5,16.0,12.0
7,2011,4.03,10.7,3.6,-6.67,0.43,0.5,7.0,39.0
8,2012,1.96,6.78,1.92,-4.82,0.04,0.57,6.0,40.0
9,2013,0.37,-2.55,-0.07,2.93,0.44,0.6,11.0,40.0
10,YTD,1.2,8.5,1.6,-7.3,-0.4,0.6,20.0,57.0
