,Year,FFTHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,10.9,11.48,9.94,-0.58,0.96,0.08,0.08,17.0
1,2005,9.04,7.04,7.35,2.0,1.7,0.08,0.08,6.0
2,2006,12.94,12.95,14.55,-0.02,-1.61,-1.61,1.0,90.0
3,2007,9.27,8.63,7.02,0.64,2.25,2.25,3.0,18.0
4,2008,-37.76,-22.19,-37.04,-15.56,-0.71,-0.71,28.0,65.0
5,2009,31.26,21.77,30.06,9.49,1.2,1.2,20.0,45.0
6,2010,14.46,12.33,14.28,2.12,0.18,0.18,25.0,49.0
7,2011,-4.59,0.59,-3.51,-5.18,-1.08,-1.08,47.0,77.0
8,2012,14.45,12.04,14.64,2.41,-0.19,-0.19,30.0,61.0
9,2013,20.68,14.31,20.0,6.38,0.69,0.69,36.0,53.0
10,YTD,6.88,5.81,6.47,1.08,0.41,0.41,54.0,39.0
