,Year,FFTWX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,9.91,11.48,8.96,-1.56,0.95,0.08,0.08,17.0
1,2005,8.19,7.04,6.59,1.15,1.61,0.08,0.08,1.0
2,2006,11.84,12.95,14.16,-1.11,-2.32,-2.32,1.0,80.0
3,2007,8.64,8.63,6.52,0.01,2.12,2.12,3.0,20.0
4,2008,-33.66,-22.19,-34.15,-11.47,0.5,0.5,24.0,41.0
5,2009,30.03,21.77,28.32,8.25,1.71,1.71,29.0,41.0
6,2010,13.82,12.33,13.29,1.49,0.54,0.54,26.0,38.0
7,2011,-2.65,0.59,-2.06,-3.25,-0.6,-0.6,49.0,68.0
8,2012,13.15,12.04,13.03,1.11,0.13,0.13,28.0,48.0
9,2013,16.5,14.31,15.3,2.2,1.2,1.2,31.0,46.0
10,YTD,6.61,5.81,6.13,0.8,0.49,0.49,46.0,33.0
