,Year,FFTYX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,45.79,21.04,38.87,24.75,6.92,6.92,6.92,3.0
1,2000,-4.5,-9.1,-13.05,4.6,8.55,0.8,295.0,32.0
2,2001,-12.43,-11.89,-22.3,-0.55,9.87,0.9,158.0,48.0
3,2002,0.32,-22.1,-27.64,22.42,27.96,1.09,50.0,1.0
4,2003,20.41,28.68,28.66,-8.28,-8.25,0.93,230.0,94.0
5,2004,7.42,10.88,7.81,-3.46,-0.39,0.99,0.99,82.0
6,2005,11.0,4.91,6.71,6.08,4.28,0.92,110.0,18.0
7,2006,11.13,15.79,7.05,-4.67,4.07,0.77,107.0,16.0
8,2007,12.63,5.49,13.35,7.14,-0.72,0.83,236.0,52.0
9,2008,-49.11,-37.0,-40.67,-12.11,-8.44,0.98,173.0,94.0
10,2009,37.05,26.46,35.68,10.58,1.37,0.7,424.0,37.0
11,2010,17.84,15.06,15.53,2.78,2.31,0.69,246.0,28.0
12,2011,-0.78,2.11,-2.46,-2.9,1.68,0.69,257.0,37.0
13,2012,16.16,16.0,15.34,0.15,0.82,0.92,277.0,37.0
14,2013,38.04,32.39,33.92,5.65,4.12,0.8,246.0,15.0
15,YTD,6.56,13.98,10.79,-7.42,-4.23,0.83,197.0,89.0
