,Year,FFVAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,7.48,11.48,7.39,-4.0,0.08,0.33,0.33,47.0
1,2005,6.07,7.04,4.64,-0.97,1.43,0.33,3.0,10.0
2,2006,10.47,12.95,11.13,-2.49,-0.66,0.26,4.0,48.0
3,2007,7.77,8.63,5.84,-0.87,1.92,0.25,11.0,16.0
4,2008,-28.37,-22.19,-27.76,-6.18,-0.61,0.24,13.0,43.0
5,2009,26.27,21.77,23.55,4.49,2.72,0.25,36.0,40.0
6,2010,12.41,12.33,11.5,0.07,0.91,0.25,29.0,36.0
7,2011,-0.52,0.59,-0.27,-1.11,-0.25,0.25,33.0,56.0
8,2012,10.28,12.04,10.65,-1.76,-0.36,0.25,19.0,65.0
9,2013,11.3,14.31,9.65,-3.0,1.65,0.25,20.0,39.0
10,YTD,5.6,5.81,5.38,-0.21,0.22,0.25,37.0,43.0
