,Year,FFVFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,8.49,11.48,7.39,-2.98,1.1,0.08,0.08,24.0
1,2005,7.01,7.04,4.64,-0.03,2.37,0.08,0.08,4.0
2,2006,10.36,12.95,11.13,-2.6,-0.77,-0.77,1.0,52.0
3,2007,7.82,8.63,5.84,-0.81,1.98,1.98,4.0,15.0
4,2008,-27.15,-22.19,-27.76,-4.96,0.61,0.61,24.0,40.0
5,2009,25.62,21.77,23.55,3.85,2.07,2.07,36.0,47.0
6,2010,11.75,12.33,11.5,-0.59,0.25,0.25,30.0,45.0
7,2011,-0.34,0.59,-0.27,-0.94,-0.07,-0.07,43.0,51.0
8,2012,10.68,12.04,10.65,-1.36,0.03,0.03,24.0,53.0
9,2013,11.88,14.31,9.65,-2.43,2.23,2.23,23.0,34.0
10,YTD,5.98,5.81,5.38,0.17,0.6,0.6,39.0,32.0
