,Year,FFXSX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.06,-0.82,1.49,2.88,0.57,0.44,85.0,37.0
1,2000,9.03,11.63,8.3,-2.6,0.73,0.73,91.0,31.0
2,2001,8.25,8.44,7.26,-0.2,0.99,0.99,173.0,13.0
3,2002,8.04,10.26,6.85,-2.21,1.19,0.45,219.0,26.0
4,2003,1.75,4.1,1.45,-2.36,0.29,0.44,0.44,32.0
5,2004,1.31,4.34,1.46,-3.02,-0.14,0.45,0.45,46.0
6,2005,1.45,2.43,1.26,-0.97,0.2,0.44,96.0,37.0
7,2006,3.67,4.33,3.67,-0.66,-0.0,0.44,126.0,52.0
8,2007,7.14,6.97,5.87,0.17,1.27,0.44,257.0,13.0
9,2008,7.94,5.24,4.8,2.7,3.14,0.44,238.0,12.0
10,2009,1.88,5.93,3.29,-4.05,-1.41,0.45,347.0,67.0
11,2010,3.33,6.54,3.04,-3.21,0.29,0.45,221.0,37.0
12,2011,2.89,7.84,2.09,-4.96,0.8,0.45,315.0,23.0
13,2012,0.92,4.21,1.06,-3.29,-0.13,0.45,138.0,54.0
14,2013,-0.31,-2.02,-0.79,1.71,0.48,0.45,89.0,32.0
15,YTD,1.59,5.87,1.2,-4.28,0.39,0.39,0.39,31.0
