,Year,FGBLX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.03,13.49,21.83,9.53,1.2,1.19,100.0,35.0
1,2000,-5.97,1.68,0.23,-7.65,-6.19,1.27,62.0,74.0
2,2001,-8.15,-2.46,-3.23,-5.68,-4.92,1.27,102.0,72.0
3,2002,-6.14,-6.69,-2.16,0.55,-3.99,1.27,102.0,62.0
4,2003,29.9,22.48,25.32,7.42,4.58,1.28,1.28,21.0
5,2004,13.67,11.48,15.24,2.19,-1.57,1.19,1.19,68.0
6,2005,9.0,7.04,6.56,1.95,2.44,1.15,95.0,23.0
7,2006,13.7,12.95,16.61,0.75,-2.91,1.14,208.0,65.0
8,2007,13.77,8.63,11.39,5.14,2.38,1.12,169.0,23.0
9,2008,-23.27,-22.19,-28.98,-1.08,5.71,1.11,264.0,28.0
10,2009,22.52,21.77,24.37,0.74,-1.85,1.21,252.0,58.0
11,2010,12.51,12.33,10.58,0.17,1.93,1.08,178.0,30.0
12,2011,-2.49,0.59,-3.99,-3.08,1.5,1.04,197.0,39.0
13,2012,12.01,12.04,10.74,-0.03,1.27,1.02,157.0,38.0
14,2013,15.51,14.31,10.07,1.2,5.44,1.0,181.0,30.0
15,YTD,1.01,5.81,3.26,-4.8,-2.25,-2.25,-2.25,86.0
