,Year,FGIRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.19,21.04,20.16,4.15,5.03,1.03,55.0,20.0
1,2000,-12.73,-9.1,-6.31,-3.63,-6.43,0.98,97.0,86.0
2,2001,-8.64,-11.89,-13.5,3.24,4.86,1.0,87.0,14.0
3,2002,-18.87,-22.1,-22.25,3.23,3.38,1.06,128.0,17.0
4,2003,22.49,28.68,27.05,-6.19,-4.55,1.08,1.08,87.0
5,2004,5.42,10.88,10.02,-5.47,-4.61,1.09,1.09,92.0
6,2005,7.27,4.91,5.88,2.36,1.39,1.05,187.0,29.0
7,2006,12.64,15.79,14.17,-3.16,-1.53,1.06,109.0,75.0
8,2007,11.39,5.49,6.16,5.89,5.22,1.04,88.0,12.0
9,2008,-41.51,-37.0,-37.79,-4.51,-3.72,1.06,124.0,81.0
10,2009,26.47,26.46,28.17,0.01,-1.7,1.08,117.0,84.0
11,2010,14.45,15.06,14.01,-0.61,0.44,1.05,102.0,57.0
12,2011,1.27,2.11,-1.27,-0.84,2.54,1.05,123.0,20.0
13,2012,18.05,16.0,14.96,2.05,3.09,1.04,57.0,12.0
14,2013,33.01,32.39,31.5,0.62,1.51,1.0,48.0,35.0
15,YTD,10.92,13.98,11.28,-3.06,-0.36,-0.36,-0.36,63.0
